NodeName,OAGName,Name,City,Lon,Lat
UUS,Yuzhno-Sakhalinsk Khomutovo Russian Fed.,Yuzhno-Sakhalinsk Airport,Yuzhno-Sakhalinsk,142.75,46.97
UYL,Nyala Sudan,Nyala Airport,Nyala,24.89,12.07
UYN,Yulin China,Yulin Airport,Yulin,109.73,38.27
VAN,Van Ferit Melen Turkey,Van Airport,Van,43.33,38.46
VAR,Varna Bulgaria,Varna Airport,Varna,27.83,43.24
VAS,Sivas Turkey,Sivas Airport,Sivas,36.9,39.81
VBS,Verona(Brescia) Italy,Montichiari Airport,Brescia,10.33,45.43
VCA,Can Tho Vietnam,Can Tho Airport,Can Tho,105.77,10.05
VCE,Venice Italy,Marco Polo Airport,Venice,12.34,45.5
VCP,Sao Paulo(Viracopos) SP Brazil,Viracopos Airport,Campinas,-47.14,-23.01
VDC,Vitoria Da Conquista BA Brazil,Vitoria Da Conquista Airport,Vitoria Da Conquista,-40.87,-14.88
VER,Veracruz Mexico,Las Bajadas Airport,Veracruz,-96.18,19.14
VGA,Vijayawada India,Vijayawada Airport,Vijayawada,80.8,16.53
VGO,Vigo Spain,Vigo Airport,Vigo,-8.63,42.22
VIE,Vienna Austria,Vienna International Airport,Vienna,16.56,48.12
VII,Vinh City Vietnam,Vinh City Airport,Vinh City,105.63,18.7
VIS,Visalia CA USA,Visalia Airport,Visalia,-119.39,36.32
VIT,Vitoria Spain,Vitoria Airport,Vitoria,-2.5,42.83
VIX,Vitoria ES Brazil,Eurico Sales Airport,Vitoria,-40.29,-20.26
VKG,Rachgia Vietnam,Rach Gia Airport,Rach Gia,105.08,10.08
VKO,Moscow(Vnukovo Intl) Russian Fed.,Vnukovo Airport,Moscow,37.29,55.6
VLC,Valencia Spain,Valencia Airport,Valencia,-0.47,39.49
VLL,Valladolid Spain,Valladolid Airport,Valladolid,-4.84,41.71
VLN,Valencia Venezuela,Valencia Airport,Valencia,-67.92,10.15
VNO,Vilnius Lithuania,Vilnius Airport,Vilnius,25.28,54.64
VNS,Varanasi India,Varanasi Airport,Varanasi,82.85,25.45
VOG,Volgograd Gumrak Russian Fed.,Volgograd Airport,Volgograd,44.35,48.79
VOZ,Voronezh Chertovitskoye Russian Fed.,Voronezh Airport,Voronezh,39.23,51.81
VPY,Chimoio Mozambique,Chimoio Airport,Chimoio,33.48,-19.13
VRN,Verona (Villafranca) Italy,Verona Airport,Verona,10.91,45.4
VSA,Villahermosa Mexico,Capitan Carlos Perez Airport,Villahermosa,-92.82,17.99
VSG,Luhansk International Ukraine,Lugansk Airport,Lugansk,39.33,48.57
VST,Stockhom(Vasteras) Sweden,Vasteras/Hasslo Airport,Stockholm,16.63,59.59
VTE,Vientiane Laos,Wattay,Vientiane,102.57,17.98
VTU,Las Tunas Cuba,Las Tunas Airport,Las Tunas,-76.95,20.97
VTZ,Vishakhapatnam India,Vishakhapatnam Airport,Vishakhapatnam,83.23,17.73
VUP,Valledupar Colombia,Valledupar Airport,Valledupar,-73.25,10.44
VVC,Villavicencio Colombia,La Vanguardia Airport,Villavicencio,-73.57,4.08
VVI,Santa Cruz(Intl) Bolivia,Viru Viru International Airport,Santa Cruz,-63.14,-17.65
VVO,Vladivostok Knevichi Russian Fed.,Vladivostok Airport,Vladivostok,132.14,43.38
VXC,Lichinga Mozambique,Lichinga Airport,Lichinga,35.25,-13.28
WAW,Warsaw(F. Chopin) Poland,Frederic Chopin Airport,Warsaw,20.97,52.17
WDH,Windhoek Namibia,Hosea Kutako International Airport,Windhoek,17.46,-22.49
WEF,Weifang China,Weifang Airport,Weifang,119.11,36.64
WEH,Weihai China,Weihai Airport,Weihai,122.24,37.19
WIL,Nairobi(Wilson) Kenya,Wilson Airport,Nairobi,36.81,-1.32
WJU,Won-Ju Rep. of Korea,Wonju Airport,Wonju,127.95,37.43
WLG,Wellington New Zealand,Wellington International Airport,Wellington,174.81,-41.33
WNP,Naga Philippines,Naga Airport,Naga,123.27,13.59
WNS,Nawab Shah Pakistan,Nawabshah Airport,Nawabshah,68.39,26.22
WNZ,Wenzhou China,Wenzhou Airport,Wenzhou,120.85,27.92
