NodeName,OAGName,Name,City,Lon,Lat
BIL,Billings MT USA,Billings Airport,Billings,-108.54,45.8
BIO,Bilbao Spain,Bilbao Airport,Bilbao,-2.91,43.31
BIR,Biratnagar Nepal,Biratnagar Airport,Biratnagar,87.28,26.43
BJA,Bejaia Soummam-Abane Ramdane,Bejaia Airport,Bejaia,5.08,36.75
BJM,Bujumbura Burundi,Bujumbura International Airport,Bujumbura,29.37,-3.38
BJZ,Badajoz Spain,Talaveral La Real Airport,Badajoz,-6.82,38.89
BKI,Kota Kinabalu Sabah Malaysia,Kota Kinabalu Airport,Kota Kinabalu,116.05,5.92
BKK,Bangkok (Intl) Thailand,Suvarnabhumi Airport,Bangkok,100.75,13.69
BKO,Bamako Mali,Bamako Airport,Bamako,-7.95,12.54
BKS,Bengkulu Indonesia,Padangkemiling Airport,Bengkulu,102.34,-3.87
BLA,Barcelona Venezuela,Gen J A Anzoategui Airport,Barcelona,-64.69,10.11
BLJ,Batna Mostepha Ben Boulaid,Batna Airport,Batna,6.18,35.57
BLK,Blackpool England UK,Blackpool Airport,Blackpool,-3.04,53.78
BLQ,Bologna Italy,Guglielmo Marconi Airport,Bologna,11.29,44.53
BLR,Bengaluru International,Bengaluru International Airport,Bangalore,77.71,13.2
BLZ,Blantyre Malawi,Chileka Airport,Blantyre,34.97,-15.67
BMA,Stockholm(Bromma) Sweden,Bromma Airport,Stockholm,17.95,59.36
BMV,Ban Me Thuot Vietnam,Phung-Duc Airport,Banmethuot,108.05,12.67
BNA,Nashvill(Intl) TN USA,Nashville Metropolitan Airport,Nashville,-86.67,36.13
BND,Bandar Abbas International Iran,Bandar Abbas Airport,Bandar Abbas,56.37,27.21
BNE,Brisbane QL Australia,Brisbane International Airport,Brisbane,153.11,-27.4
BNI,Benin City Nigeria,Benin City Airport,Benin City,5.6,6.32
BNS,Barinas Venezuela,Barinas Airport,Barinas,-70.22,8.62
BNX,Banja Luka International,Banja Luka Airport,Banja Luka,17.3,44.93
BOD,Bordeaux France,Bordeaux Airport,Bordeaux,-0.7,44.83
BOG,Bogota Colombia,Eldorado Airport,Bogota,-74.14,4.7
BOH,Bournemouth England UK,Bournemouth Airport,Bournemouth,-1.83,50.78
BOI,Boise ID USA,Boise Air Terminal (Gowen Field),Boise,-116.22,43.57
BOJ,Burgas Bulgaria,Bourgas Airport,Bourgas,27.28,42.42
BOM,Mumbai India,Chhatrapati Shivaji International Airport,Mumbai,72.87,19.1
BOS,Boston(Intl) MA USA,Logan International Airport,Boston,-71.02,42.37
BOY,Bobo Dioulasso Burkina Faso,Borgo Airport,Bobo Dioulasso,-4.32,11.16
BPM,Hyderabad (Begumpet) India,NULL,Hyderabad ,78.47,17.45
BPN,Balikpapan Indonesia,Sepingan Airport,Balikpapan,116.9,-1.26
BPT,Beaumont/Pt. Arthur TX USA,Jefferson County Airport,Beaumont,-94.02,29.95
BQS,Blagoveschensk Ignatyevo,Blagoveschensk Airport,Blagoveschensk,127.4,50.42
BRA,Barreiras BA Brazil,Barreiras Airport,Barreiras,-45.01,-12.07
BRE,Bremen Germany,Bremen Airport,Bremen,8.79,53.05
BRI,Bari Italy,Palese Airport,Bari,16.76,41.13
BRM,Barquisimeto Venezuela,Barquisimeto Airport,Barquisimeto,-69.36,10.05
BRN,Berne Switzerland,Belp Airport,Berne,7.5,46.91
BRO,Brownsville TX USA,South Padre Island International Airport,Brownsville,-97.42,25.91
BRQ,Brno Czech Rep.,Turany Airport,Brno,16.7,49.15
BRS,Bristol (Intl) England UK,Bristol Airport,Bristol,-2.71,51.39
BRU,Brussels Belgium,Brussels Airport,Brussels,4.48,50.9
BSA,Bossaso Somalia,Bossaso Airport,Bossaso,49.15,11.28
BSD,Baoshan China,Baoshan Airport,Baoshan,99.16,25.06
BSK,Biskra Mohamed Khider,Biskra Airport,Biskra,5.74,34.79
BSR,Basrah Iraq,Basra International Airport,Basra,47.79,30.56
BSX,Bassein Myanmar,Bassein Airport,Bassein,94.78,16.8
BTH,Batam(Hang Nadim) Indonesia,Hang Nadim Airport,Batam,104.12,1.12
BTJ,Banda Aceh Indonesia,Blang Bintang Airport,Banda Aceh,95.42,5.52
BTK,Bratsk Russian Fed.,Bratsk Airport,Bratsk,101.82,56.37
BTR,Baton Rouge LA USA,Ryan Airport,Baton Rouge,-91.16,30.53
BTS,Bratislava Slovakia,Ivanka Airport,Bratislava,17.2,48.17
BTU,Bintulu Sarawak Malaysia,Bintulu Airport,Bintulu,113.04,3.17
BUD,Budapest Hungary,Ferihegy Airport,Budapest,19.26,47.43
BUF,Buffalo(Intl) NY USA,Buffalo Niagara International Airport,Buffalo,-78.73,42.93
BUN,Buenaventura Colombia,Buenaventura Airport,Buenaventura,-77,3.83
BUQ,Bulawayo Zimbabwe,Bulawayo Airport,Bulawayo,28.62,-20.01
BUR,Burbank CA USA,Bob Hope Airport,Burbank,-118.35,34.2
BUS,Batumi Georgia,Batumi Airport,Batumi,41.6,41.61
BUZ,Bushehr Iran,Bushehr Airport,Bushehr,50.83,28.96
BVA,Paris(Beauvais-Tille) France,Beauvais-Tille Airport,Paris,2.11,49.46
BVB,Boa Vista RR Brazil,Boa Vista Airport,Boa Vista,-60.67,2.83
BVE,Brive-La-Gaillarde France,Laroche Airport,Brive-La-Gaillarde,1.53,45.17
BWI,Baltimore(Intl) MD USA,Balt./Wash. International Airport,Baltimore,-76.67,39.18
BYM,Bayamo Cuba,C.M. de Cespedes Airport,Bayamo,-76.65,20.38
BZG,Bydgoszcz Poland,Bydgoszcz Airport,Bydgoszcz,17.98,53.1
BZV,Brazzaville Congo,Maya Maya Airport,Brazzaville,15.25,-4.26
CAC,Cascavel PR Brazil,Cascavel Airport,Cascavel,-53.47,-24.95
CAE,Columbia SC USA,Columbia Metropolitan Airport,Columbia,-81.13,33.95
CAG,Cagliari Italy,Elmas Airport,Cagliari,9.06,39.25
CAH,Ca Mau Vietnam,Ca Mau Airport,Ca Mau,105.18,9.18
CAI,Cairo Egypt,Cairo International Airport,Cairo,31.41,30.12
CAK,Akron/Canton OH USA,Akron/Canton Regional Airport,Akron/Canton,-81.44,40.91
CAN,Guangzhou China,Baiyun Airport,Guangzhou,113.3,23.39
CAP,Cap Haitien Haiti,Cap Haitien Airport,Cap Haitien,-72.19,19.73
CBB,Cochabamba Bolivia,J Wilsterman Airport,Cochabamba,-66.18,-17.41
CBH,Bechar Boudghene B. Ali Lotfi,Leger Airport,Bechar,-2.26,31.65
CBO,Cotabato Philippines,Awang Airport,Cotabato,124.21,7.16
CBQ,Calabar Nigeria,Calabar Airport,Calabar,8.35,4.97
CBR,Canberra AC Australia,Canberra Airport,Canberra,149.19,-35.31
CCJ,Kozhikode India,Calicut Airport,Kozhikode,75.95,11.14
CCM,Crisciuma SC Brazil,Criciuma Airport,Criciuma,-49.37,-28.7
CCP,Concepcion Chile,Carriel Sur Airport,Concepcion,-73.06,-36.78
CCS,Caracas Venezuela,Simon Bolivar Airport,Caracas,-67.01,10.6
CCU,Kolkata India,Netaji Subhas Chandra Bose Airport,Kolkata,88.44,22.65
CDG,Paris(Charles De Gaulle) France,Charles De Gaulle Airport,Paris,2.57,49
CEB,Cebu Philippines,Mactan International Airport,Cebu,123.98,10.32
CEE,Cherepovets Russian Fed.,Cherepovets Airport,Cherepovets,38.07,59.28
CEK,Chelyabinsk Balandino,Chelyabinsk Airport,Chelyabinsk,61.51,55.3
CEN,Ciudad Obregon Mexico,Ciudad Obregon Airport,Ciudad Obregon,-109.84,27.39
CFB,Cabo Frio RJ Brazil,Cabo Frio Airport,Cabo Frio,-42.08,-22.93
CFE,Clermont-Ferrand France,Aulnat Airport,Clermont-Ferrand,3.16,45.78
CFG,Cienfuegos Cuba,Cienfuegos Airport,Cienfuegos,-80.41,22.15
CFK,Chlef Aboubakr Belkaid,Chlef Airport,Chlef,1.33,36.21
CFR,Caen France,Carpiquet Airport,Caen,-0.46,49.18
CGB,Cuiaba MT Brazil,M. Rondon Airport,Cuiaba,-56.12,-15.65
CGD,Changde China,Changde Airport,Changde,111.64,28.92
CGH,Sao Paulo(Congonhas) SP Brazil,Congonhas Airport,Sao Paulo,-46.66,-23.63
CGK,Jakarta(Intl) Indonesia,Soekarno-Hatta International Airport,Jakarta,106.66,-6.13
CGN,Cologne/Bonn(Intl) Germany,Koeln/Bonn Airport,Cologne,7.12,50.88
CGO,Zhengzhou China,Zhengzhou Airport,Zhengzhou,113.84,34.53
CGP,Chittagong Bangladesh,Patenga Airport,Chittagong,91.82,22.25
CGQ,Changchun China,Changchun Airport,Changchun,125.22,43.9
CGR,Campo Grande MS Brazil,Campo Grande Internacional Airport,Campo Grande,-54.67,-20.46
CGY,Cagayan De Oro Philippines,Lumbia Airport,Cagayan De Oro,124.61,8.41
CHA,Chattanooga TN USA,Lovell Field,Chattanooga,-85.2,35.04
CHC,Christchurch New Zealand,Christchurch International Airport,Christchurch,172.54,-43.49
CHG,Chaoyang China,Chaoyang Airport,Chaoyang,120.44,41.55
CHM,Chimbote Peru,Chimbote Airport,Chimbote,-78.53,-9.15
CIA,Rome(Ciampino) Italy,Ciampino Airport,Rome,12.59,41.8
CID,Cedar Rapids/Iowa City IA USA,Cedar Rapids Airport,Cedar Rapids,-91.7,41.89
CIF,Chifeng China,Chifeng Airport,Chifeng,118.91,42.24
CIH,Changzhi China,Changzhi Airport,Changzhi,113.12,36.25
CIT,Shimkent Kazakhstan,Shimkent Airport,Shimkent,69.6,42.3
CIX,Chiclayo Peru,Cornel Ruiz Airport,Chiclayo,-79.83,-6.79
CJA,Cajamarca Peru,Cajamarca Airport,Cajamarca,-78.5,-7.13
CJB,Coimbatore India,Peelamedu Airport,Coimbatore,77.04,11.03
CJC,Calama Chile,El Loa Airport,Calama,-68.91,-22.5
CJJ,Cheongju Rep. of Korea,Cheongju Airport,Cheongju,127.5,36.72
CJS,Ciudad Juarez Mexico,Abraham Gonzalez International Airport,Ciudad Juarez,-106.44,31.64
CJU,Jeju (Intl) Rep. of Korea,Jeju Airport,Jeju,126.49,33.51
CKG,Chongqing China,Chongqing Airport,Chongqing,106.63,29.72
CKY,Conakry Guinea,Conakry Airport,Conakry,-13.62,9.58
CLD,SAN DIEGO MCCLELLAN-PALOMAR,Carlsbad Airport,San Diego,-117.27,33.12
CLE,Cleveland(Intl) OH USA,Hopkins International Airport,Cleveland,-81.84,41.41
CLJ,Cluj Romania,Napoca Airport,Cluj,23.69,46.78
CLO,Cali Colombia,Alfonso B. Aragon Airport,Cali,-76.38,3.54
CLQ,Colima Mexico,Colima Airport,Colima,-103.65,19.3
CLT,Charlotte NC USA,Douglas Airport,Charlotte,-80.94,35.22
CMB,Colombo(Bandaranaike) Sri Lanka,Bandaranayake International Airport,Colombo,79.89,7.17
CME,Ciudad Del Carmen Mexico,Ciudad Del Carmen Airport,Ciudad Del Carmen,-91.8,18.65
CMN,Casablanca(Mohammed V.) Morocco,Mohamed V Airport,Casablanca,-7.59,33.37
CMW,Camaguey Cuba,Ign Agramonte International Airport,Camaguey,-77.85,21.42
CND,Constanta Mihail Kogalniceanu,Kogalniceanu Airport,Constanta,28.48,44.35
CNF,Belo Horizonte (Tancredo Neves) Brazil,Tancredo Neves International Airport,Belo Horizonte,-43.96,-19.63
CNQ,Corrientes CR Argentina,Camba Punta Airport,Corrientes,-58.76,-27.45
CNS,Cairns QL Australia,Cairns Airport,Cairns,145.75,-16.88
CNX,Chiang Mai Thailand,Chiang Mai International Airport,Chiang Mai,98.97,18.77
COK,Kochi India,Kochi Airport,Kochi,76.39,10.16
COO,Cotonou Benin,Cotonou Airport,Cotonou,2.39,6.35
COR,Cordoba CD Argentina,Pajas Blancas Airport,Cordoba,-64.21,-31.32
COS,Colorado Springs CO USA,Colorado Springs Airport,Colorado Springs,-104.7,38.8
COU,Columbia MO USA,Columbia Regional Airport,Columbia,-92.22,38.81
CPE,Campeche Mexico,Campeche International Airport,Campeche,-90.51,19.84
CPH,Copenhagen (Kastrup) Denmark,Copenhagen Airport,Copenhagen,12.65,55.63
CPO,Copiapo Chile,Chamonate Airport,Copiapo,-70.41,-27.3
CPQ,Campinas SP Brazil,Amarais Airport,Campinas,-47.11,-22.86
CPT,Cape Town(Intl) South Africa,Cape Town International Airport,Cape Town,18.6,-33.97
CPV,Campina Grande PB Brazil,Joao Suassuna Airport,Campina Grande,-35.9,-7.27
CRA,Craiova Romania,Craiova Airport,Craiova,23.89,44.32
CRC,Cartago Colombia,Cartago Airport,Cartago,-75.93,4.77
CRD,Comodoro Rivadavia CB Argentina,Comodoro Rivadavia Airport,Comodoro Rivadavia,-67.46,-45.79
CRL,Brussels(Charleroi) Belgium,Charleroi Brussels South Airport,Brussels,4.45,50.46
CRP,Corpus Christi TX USA,Corpus Christi International Airport,Corpus Christi,-97.5,27.77
CSX,Changsha China,Changsha Airport,Changsha,113.21,28.19
CSY,Cheboksary Russian Fed.,Cheboksary Airport,Cheboksary,47.27,56.13
CTA,Catania Italy,Fontanarossa Airport,Catania,15.07,37.47
CTC,Catamarca CA Argentina,Catamarca Airport,Catamarca,-65.78,-28.45
CTG,Cartagena Colombia,Rafael Nunez Airport,Cartagena,-75.52,10.45
CTM,Chetumal Mexico,Chetumal Airport,Chetumal,-88.33,18.48
CTS,Sapporo(Chitose) Japan,Chitose Airport,Sapporo,141.68,42.79
CTU,Chengdu China,Chengdu Airport,Chengdu,103.96,30.58
CUC,Cucuta Colombia,Camilo Dazo Airport,Cucuta,-72.51,7.93
CUE,Cuenca Ecuador,Cuenca Airport,Cuenca,-78.99,-2.89
CUL,Culiacan Mexico,Fedl De Bachigualato Airport,Culiacan,-107.47,24.77
CUN,Cancun Mexico,Cancun Airport,Cancun,-86.87,21.04
CUU,Chihuahua Mexico,Gen Fierro Villalobos Airport,Chihuahua,-105.97,28.7
CUZ,Cuzco Peru,Velazco Astete Airport,Cuzco,-71.94,-13.54
CVG,Cincinnati(Intl) OH USA,Cincinnati/Northern Kentucky Airport,Cincinnati,-84.66,39.06
CVM,Ciudad Victoria Mexico,Ciudad Victoria Airport,Ciudad Victoria,-98.97,23.71
CWB,Curitiba PR Brazil,Afonso Pena Airport,Curitiba,-49.24,-25.4
CWC,Chernivtsi International,Chernovtsy Airport,Chernovtsy,25.97,48.27
CWL,Cardiff Wales UK,Cardiff-Wales Airport,Cardiff,-3.34,51.4
CXB,Cox's Bazar Bangladesh,Coxs Bazar Airport,Coxs Bazar,91.97,21.45
CXH,Vancouver(Coal Hbr) BC Canada,Coal Harbour Sea Plane Base,Vancouver,-123.12,49.27
CXJ,Caxias Do Sul RS Brazil,Campo Dos Bugres Airport,Caxias Do Sul,-51.18,-29.17
CXR,Cam Ranh Vietnam,Cam Rahn Airport,Nha Trang,109.22,11.99
CYI,Chiayi Chinese Taipei,Chiayi Airport,Chiayi,120.38,23.47
CZL,Constantine Mohamed Boudiaf,Ain El Bey Airport,Constantine,6.62,36.29
CZX,Changzhou China,Changzhou Airport,Changzhou,119.78,31.91
DAC,Dhaka Hazrat Shahjalal Intl,Zia International Airport,Dhaka,90.41,23.85
DAD,Da Nang Vietnam,Da Nang Airport,Da Nang,108.2,16.06
DAL,Dallas/Ft. Worth(Love Fld) TX USA,Love Field,Dallas,-96.85,32.84
DAM,Damascus Syria,Damascus International Airport,Damascus,36.51,33.41
DAR,Dar Es Salaam Tanzania,Dar Es Salaam International Airport,Dar Es Salaam,39.2,-6.87
DAT,Datong China,Datong Airport,Datong,113.48,40.06
DAX,Daxian China,Daxian Airport,Daxian,107.43,31.14
DAY,Dayton(Intl) OH USA,James Cox Dayton International Airport,Dayton,-84.22,39.9
DCA,Washington (Reagan Nat'l) DC USA,Ronald Reagan National Airport,Washington,-77.04,38.85
DDG,Dandong China,Dandong Airport,Dandong,124.28,40.03
DEA,Dera Ghazi Khan Pakistan,Dera Ghazi Khan Airport,Dera Ghazi Khan,70.49,29.96
DED,Dehradun India,Dehra Dun Airport,Dehra Dun,78.03,30.32
DEL,Delhi India,Indira Gandhi International Airport,Delhi,77.1,28.56
DEN,Denver(Intl) CO USA,Denver International Airport,Denver,-104.67,39.85
DEZ,Deir ez Zor Syria,Al Jafrah Airport,Deirezzor,40.19,35.29
DFW,Dallas/Ft. Worth(Intl) TX USA,Dallas/Ft. Worth International Airport,Dallas,-97.04,32.9
DGO,Durango Mexico,Guadalupe Victoria Airport,Durango,-104.53,24.13
DGT,Dumaguete Philippines,Dumaguete Airport,Dumaguete,123.3,9.33
DIB,Dibrugarh India,Chabua Airport,Dibrugarh,95.02,27.48
DIJ,Dijon France,Dijon Airport,Dijon,5.09,47.27
DIL,Dili East Timor,Comoro Airport,Dili,125.53,-8.55
DIR,Dire Dawa Ethiopia,Aba Tenna D Yilma Airport,Dire Dawa,41.86,9.61
DIY,Diyarbakir Turkey,Diyarbakir Airport,Diyarbakir,40.2,37.9
DJB,Jambi Indonesia,Sultan Taha Syarifudn Airport,Jambi,103.64,-1.63
DJJ,Jayapura Indonesia,Sentani Airport,Jayapura,140.51,-2.57
DKR,Dakar Senegal,Yoff Airport,Dakar,-17.49,14.74
DLA,Douala Cameroon,Douala Airport,Douala,9.72,4.01
DLC,Dalian China,Dalian Airport,Dalian,121.54,38.96
DLH,Duluth MN USA,Duluth International Airport,Duluth,-92.18,46.84
DLI,Dalat Vietnam,Lienkhang Airport,Dalat,108.38,11.75
DLU,Dali City China,Dali Airport,Dali City,100.32,25.65
DME,Moscow(Domodedovo) Russian Fed.,Domodedovo Airport,Moscow,37.9,55.41
DMK,Bangkok (Don Muang) Thailand,Don Muang International Airport,Bangkok,100.61,13.91
DMM,Damman Saudi Arabia,King Fahad International Airport,Dammam,49.8,26.47
DMU,Dimapur India,Dimapur Airport,Dimapur,93.77,25.88
DND,Dundee Scotland UK,Dundee Airport,Dundee,-3.01,56.45
DNH,Dunhuang China,Dunhuang Airport,Dunhuang,94.68,40.2
DNZ,Denizli Turkey,Cardak Airport,Denizli,29.7,37.79
DOH,Doha(Intl) Qatar,Doha Airport,Doha,51.56,25.27
DOK,Donetsk International,Donetsk Airport,Donetsk,37.75,48.08
DPS,Denpasar Bali Indonesia,Ngurah Rai Airport,Denpasar Bali,115.16,-8.74
DQA,Daqing Shi China,Daqing Shi Airport ,Daqing,125.23,46.59
DRS,Dresden Germany,Dresden Airport,Dresden,13.77,51.12
DRW,Darwin NT Australia,Darwin Airport,Darwin,130.88,-12.41
DSK,Dera Ismail Khan Pakistan,Dera Ismail Khan Airport,Dera Ismail Khan,70.9,31.92
DSM,Des Moines IA USA,Des Moines Airport,Des Moines,-93.65,41.53
DTM,Dortmund Germany,Dortmund Airport,Dortmund,7.61,51.51
DTW,Detroit(Metro Wayne) MI USA,Detroit Metropolitan Wayne County Airport,Detroit,-83.36,42.21
DUB,Dublin Ireland,Dublin Airport,Dublin,-6.24,53.43
DUD,Dunedin New Zealand,Dunedin Airport,Dunedin,170.2,-45.92
DUR,Durban King Shaka Intl South Africa,King Shaka International Airport,Durban,31.12,-29.61
DUS,Dusseldorf(Intl) Germany,Dusseldorf Airport,Dusseldorf,6.77,51.28
DVO,Davao Philippines,Mati Airport,Davao,125.64,7.13
DXB,Dubai U.A. Emirates,Dubai Airport,Dubai,55.35,25.25
DYU,Dushanbe Tajikistan,Dushanbe Airport,Dushanbe,68.82,38.55
DZN,Zhezkazgan Kazakhstan,Zhezhazgan Airport,Zhezkazgan,67.73,47.7
EAS,San Sebastian Spain,San Sebastian Airport,San Sebastian,-1.79,43.36
EBD,El Obeid Sudan,El Obeid Airport,El Obeid,30.23,13.16
EBL,Erbil Iraq,Erbil International Airport,Erbil,43.96,36.24
EBU,St. Etienne France,Boutheon Airport,Saint Etienne,4.3,45.54
EDI,Edinburgh Scotland UK,Turnhouse Airport,Edinburgh,-3.36,55.95
EDL,Eldoret Kenya,Eldoret Airport,Eldoret,35.22,0.41
EGO,Belgorod Russian Fed.,Belgorod Airport,Belgorod,36.65,50.63
EIN,Eindhoven Netherlands,Eindhoven Airport,Eindhoven,5.39,51.46
EJA,Barrancabermeja Colombia,Variguies Airport,Barrancabermeja,-73.8,7.02
ELF,El Fasher Sudan,El Fasher Airport,El Fasher,25.32,13.62
ELP,El Paso TX USA,El Paso International Airport,El Paso,-106.4,31.8
ELS,East London South Africa,East London Airport,East London,27.83,-33.04
ELU,El Oued Algeria,Guemar Airport,El Oued,6.78,33.52
EMA,East Midlands England UK,East Midlands Airport,Leicestershire,-1.33,52.83
ENH,Enshi China,Enshi Airport,Enshi,109.48,30.32
ENU,Enugu Nigeria,Enugu Airport,Enugu,7.57,6.47
EOH,Medellin(Herrera) Colombia,Enrique Olaya Herrera Airport,Medellin,-75.59,6.22
ERF,Erfurt Germany,Erfurt Airport,Erfurt,10.96,50.97
ERI,Erie PA USA,Erie International Airport,Erie,-80.18,42.08
ERS,Windhoek(Eros) Namibia,Eros Airport,Windhoek,17.08,-22.62
ERZ,Erzurum Turkey,Erzurum Airport,Erzurum,41.17,39.96
ESB,Ankara (Esenboga) Turkey,Esenboga Airport,Ankara,32.99,40.11
EUG,Eugene OR USA,Eugene Airport,Eugene,-123.21,44.12
EUN,Laayoune Morocco,Hassan I Airport,Laayoune,-13.22,27.13
EVN,Yerevan Zvartnots Intl,Yerevan Airport,Yerevan,44.4,40.15
EVV,Evansville IN USA,Evansville Regional Airport,Evansville,-87.53,38.05
EWR,Newark/New York(Liberty) NJ USA,Newark Liberty International Airport,Newark,-74.18,40.69
EXT,Exeter England UK,Exeter Airport,Exeter,-3.41,50.73
EZE,Buenos Aires(Pistarini) BA Argentina,Ministro Pistarini Airport,Buenos Aires,-58.54,-34.81
EZS,Elazig Turkey,Elazig Airport,Elazig,39.29,38.61
FAR,Fargo ND USA,Hector Field,Fargo,-96.83,46.92
FAT,Fresno(Yosemite Intl) CA USA,Fresno Air Terminal,Fresno,-119.72,36.77
FAY,Fayetteville NC USA,Fayetteville Municipal Airport,Fayetteville,-78.89,34.99
FBM,Lubumbashi D.R. of Congo (Zaire),Luano,Lubumbashi,27.53,-11.59
FCO,Rome(Fiumicino) Italy,Fiumicino Airport,Rome,12.25,41.79
FEG,Fergana Uzbekistan,Fergana Airport,Fergana,71.73,40.35
FEZ,Fez Morocco,Sais Airport,Fez,-4.98,33.93
FIH,Kinshasa D.R. of Congo (Zaire),NDjili Airport',Kinshasa,15.45,-4.39
FKI,Kisangani D.R. of Congo (Zaire),Kisangani Airport,Kisangani,25.2,0.52
FKS,Fukushima Japan,Fukushima Airport,Fukushima,140.43,37.23
FLA,Florencia Colombia,Capitolio Airport,Florencia,-75.56,1.59
FLL,Ft. Lauderdale(Intl) FL USA,Ft. Lauderdale International Airport,Fort Lauderdale,-80.14,26.07
FLN,Florianopolis SC Brazil,Hercilio Luz Airport,Florianopolis,-48.55,-27.66
FLR,Florence Italy,Peretola Airport,Florence,11.2,43.8
FLW,Flores Is. Azores Portugal,Santa Cruz Airport,Flores Island (Azores),-31.15,39.47
FMO,Muenster Germany,Muenster Airport,Muenster,7.69,52.13
FNA,Freetown Sierra Leone,Lungi International Airport,Freetown,-13.2,8.62
FNI,Nimes France,Garons Airport,Nimes,4.42,43.75
FNJ,Pyongyang Dem. Peop. Rep. of Korea,Sunan,Pyongyang,125.67,39.2
FNL,Ft. Collins/Loveland CO USA,Fort Collins/Loveland Municipal Airport,Fort Collins/Loveland,-105.08,40.58
FNT,Flint MI USA,Bishop Airport,Flint,-83.74,42.97
FOC,Fuzhou China,Fuzhou Airport,Fuzhou,119.67,25.93
FOG,Foggia Italy,Gino Lisa Airport,Foggia,15.54,41.43
FOR,Fortaleza CE Brazil,Pinto Martins Airport,Fortaleza,-38.54,-3.78
FRA,Frankfurt Germany,Frankfurt International Airport,Frankfurt,8.57,50.05
FRL,Forli Italy,Luigi Ridolfi Airport,Forli,12.07,44.2
FRU,Bishkek Kyrgyzstan,Bishkek Airport,Bishkek,74.47,43.05
FSD,Sioux Falls SD USA,Sioux Falls Regional Airport (Jo Foss Field),Sioux Falls,-96.73,43.58
FSZ,Shizuoka Japan,Shizuoka Airport,Shizuoka,138.19,34.8
FUG,Fuyang China,Fuyang Airport,Fuyang,115.7,32.87
FUK,Fukuoka Japan,Fukuoka Airport,Fukuoka,130.44,33.58
FWA,Ft. Wayne IN USA,Fort Wayne Municipal Airport/Baer Field,Fort Wayne,-85.19,40.99
GAE,Gabes Matmata,Gabes Airport,Gabes,10.03,33.88
GAJ,Yamagata Japan,Junmachi Airport,Yamagata,140.37,38.41
GAO,Guantanamo Cuba,Los Canos Airport,Guantanamo,-75.16,20.08
GAU,Guwahati India,Borjhar Airport,Guwahati,91.59,26.11
GAY,Gaya India,Gaya Airport,Gaya,84.95,24.75
GBE,Gaborone Botswana,Sir Seretse Khama International Airport,Gaborone,25.92,-24.56
GDL,Guadalajara Mexico,Miguel Hidal Airport,Guadalajara,-103.3,20.53
GDN,Gdansk Poland,Rebiechowo Airport,Gdansk,18.47,54.38
GDQ,Gondar Ethiopia,Gondar Airport,Gondar,37.45,12.51
GDX,Magadan Sokol,Magadan Airport,Magadan,150.72,59.92
GEG,Spokane(Intl) WA USA,Spokane International Airport,Spokane,-117.54,47.63
GEO,Georgetown Guyana,Cheddi Jagan International Airport,Georgetown,-58.25,6.5
GIG,Rio De Janeiro(Intl) RJ Brazil,Galeao Antonio Carlos Jobim International Airport,Rio De Janeiro,-43.25,-22.81
GJL,Jijel Ferhat Abbas,Jijel Airport,Jijel,5.88,36.8
GLA,Glasgow(Intl) Scotland UK,Glasgow International Airport,Glasgow,-4.43,55.86
GLO,Gloucester/Cheltenham Gloucestershire,Gloucestershire Airport,Gloucester,-2.23,51.88
GMA,Gemena D.R. of Congo (Zaire),Gemena Airport,Gemena,19.77,3.23
GMP,Seoul(Gimpo Intl) Rep. of Korea,Gimpo International Airport,Seoul,126.8,37.56
GMR,Gambier Is. French Polynesia,Gambier Island Airport,Gambier Island,-134.89,-23.08
GNA,Grodna Belarus,Grodno Airport,Grodno,23.8,53.67
GNB,Lyon (Grenoble-St Geoirs) France,Grenoble-Isere Airport,Grenoble,5.33,45.36
GNV,Gainesville FL USA,Gainesville Regional Airport,Gainesville,-82.28,29.69
GNY,Sanliurfa Turkey,Sanliurfa Airport,Sanliurfa,38.85,37.09
GOA,Genoa Italy,Cristoforo Colombo Airport,Genoa,8.85,44.42
GOI,Goa India,Dabolim Airport,Goa,73.84,15.38
GOJ,Nizhny Novgorod,Nizhniy Novgorod Airport,Nizhniy Novgorod,43.79,56.22
GOM,Goma D.R. of Congo (Zaire),Goma Airport,Goma,29.23,-1.67
GOP,Gorakhpur India,Gorakhpur Airport,Gorakhpur,83.44,26.75
GOQ,Golmud China,Golmud Airport,Golmud,94.79,36.4
GOT,Goteborg Sweden,Landvetter Airport,Gothenburg,12.29,57.67
GPA,Patrai Greece,Araxos Airport,Patras,21.73,38.25
GRB,Green Bay WI USA,Austin-Straubel Field,Green Bay,-88.12,44.49
GRJ,George South Africa,George Airport,George,22.38,-34
GRK,Killeen Gray AAF TX USA,Gray Army Air Field,Killeen,-97.82,31.06
GRQ,Groningen Netherlands,Eelde Airport,Groningen,6.58,53.12
GRR,Grand Rapids MI USA,Gerald R. Ford International Airport,Grand Rapids,-85.53,42.89
GRU,Sao Paulo(Intl) SP Brazil,Guarulhos International Airport,Sao Paulo,-46.48,-23.43
GRV,Grozny,Groznyy Airport,Groznyy,45.75,43.33
GRZ,Graz Austria,Thalerhof Airport,Graz,15.44,46.99
GSE,Gotenburg City Apt Sweden,Saeve Airport,Gothenburg,11.86,57.78
GSO,Greensboro/H.Pt/Win-Salem NC USA,Piedmont Triad International Airport,Geensboro,-79.94,36.11
GSP,Greenville/Spartanburg SC USA,Greenville-Spartanburg Airport,Greenville,-82.22,34.89
